rating	description
TV-MA	This program is intended to be viewed by mature, adult audiences and may be unsuitable for children under 17
R	Restricted, Children Under 17 Require Accompanying Parent or Adult Guardian
PG-13	Some Material May Be Inappropriate for Children Under 13
TV-14	This program may be unsuitable for children under 14 years of age
TV-PG	This program contains material that parents may find unsuitable for younger children. Parental guidance is recommended
NR	This means no version was submitted for review by the MPAA, and has no rating in any version
TV-G	This program is suitable for all ages.
TV-Y	This program is aimed at a very young audience, including children from ages 2–6
TV-Y7	This program is most appropriate for children age 7 and up
PG	Some Material May Not Be Suitable for Children
G	All ages admitted
NC-17	No children under 17 admitted
TV-Y7-FV	TV-Y7 + Fantasy violence (exclusive to the TV-Y7 rating)
UR	Unrated. Often meaning the movie is the version submitted for review from the MPAA (Think unrated directors cut) and is an edited or changed version than the rated version
