OverallQual,LotFrontage,SalePrice,OverallCond,LotArea,YearBuilt,YearRemodAdd,MasVnrArea,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,TotRmsAbvGrd,GarageArea,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea
7,65.0,208500,5,8450,2003,2003,196.0,150,856,856,854,1710,8,548,61,0,0,0,0
6,80.0,181500,8,9600,1976,1976,0.0,284,1262,1262,0,1262,6,460,0,0,0,0,0
7,68.0,223500,5,11250,2001,2002,162.0,434,920,920,866,1786,6,608,42,0,0,0,0
7,60.0,140000,5,9550,1915,1970,0.0,540,756,961,756,1717,7,642,35,272,0,0,0
8,84.0,250000,5,14260,2000,2000,350.0,490,1145,1145,1053,2198,9,836,84,0,0,0,0
5,85.0,143000,5,14115,1993,1995,0.0,64,796,796,566,1362,5,480,30,0,320,0,0
8,75.0,307000,5,10084,2004,2005,186.0,317,1686,1694,0,1694,7,636,57,0,0,0,0
7,,200000,6,10382,1973,1973,240.0,216,1107,1107,983,2090,7,484,204,228,0,0,0
7,51.0,129900,5,6120,1931,1950,0.0,952,952,1022,752,1774,8,468,0,205,0,0,0
5,50.0,118000,6,7420,1939,1950,0.0,140,991,1077,0,1077,5,205,4,0,0,0,0
5,70.0,129500,5,11200,1965,1965,0.0,134,1040,1040,0,1040,5,384,0,0,0,0,0
9,85.0,345000,5,11924,2005,2006,286.0,177,1175,1182,1142,2324,11,736,21,0,0,0,0
5,,144000,6,12968,1962,1962,0.0,175,912,912,0,912,4,352,0,0,0,176,0
7,91.0,279500,5,10652,2006,2007,306.0,1494,1494,1494,0,1494,7,840,33,0,0,0,0
6,,157000,5,10920,1960,1960,212.0,520,1253,1253,0,1253,5,352,213,176,0,0,0
7,51.0,132000,8,6120,1929,2001,0.0,832,832,854,0,854,5,576,112,0,0,0,0
6,,149000,7,11241,1970,1970,180.0,426,1004,1004,0,1004,5,480,0,0,0,0,0
